id,Name
1,T-Shirt
2,1 GB
3,1 TB
4,10 Inch & Above
5,10.6 centimeters
6,102 centimeters
7,11.6 centimeters
8,12 GB
9,12 MP AND 12 MP AND 16 MP
10,120 centimeters
11,12000 grams
12,128GB
13,13 - 13.9 Inch
14,13 MP
15,13 MP + 2 MP
16,1.3525E+12
17,14 centimeters
18,14 inches
19,14.4 centimeters
20,15 centimeters
21,15.4 centimeters
22,15.6 inches
23,16 GB
24,16 PX
25,16.4 centimeters
26,16.6 centimeters
27,17.4 centimeters
28,180 grams
29,19.4 centimeters
30,1920x1080
31,1T
32,1TB
33,2
34,2 - 5 MP
35,2000 - 3000 milliampere_hour
36,21.4 centimeters
37,23.6 centimeters
38,25 centimeters
39,25000 grams
40,2.72434E+12
41,2.72462E+12
42,2.72495E+12
43,2.72502E+12
44,2.72508E+12
45,2.72545E+12
46,2.72551E+12
47,2.72552E+12
48,2.72554E+12
49,2.72555E+12
50,2.7256E+12
51,28.6 centimeters
52,2904 grams
53,2G/3G
54,3000 - 4000 mAH
55,3000 - 4000 milliampere_hour
56,3000 milliampere_hour & above
57,32 centimeters
58,32 GB
59,320 GB
60,320 grams
61,340 grams
62,3544 grams
63,3.55311E+12
64,380 grams
65,3G
66,4 GB
67,4 GB
68,40 Inch
69,400 grams
70,4000 - 5000 mAH
71,4000 - 5000 milliampere_hour
72,4000 mph
73,43 Inch
74,43.8 centimeters
75,43LK5730
76,43P
77,440 grams
78,45.2 centimeters
79,450gm
80,47.5 centimeters
81,48 Megapixels
82,48 MP
83,484 grams
84,4.89446E+12
85,4G LTE
86,4g_lte
87,4GB
88,5.4 centimeters
89,5.45 inches
90,5000 - 6000 milliampere_hour
91,512 GB
92,512 GB
93,580 grams
94,6 centimeters
95,6.2 Inch
96,6.3 Inch
97,6.5 Inches
98,60 centimeters
99,6.29111E+12
100,64 GB
101,65 centimeters
102,66 centimeters
103,6.94106E+12
104,6.94106E+12
105,6.95239E+12
106,6.97245E+12
107,7 Inch
108,7 inches
109,7.2 centimeters
110,706 grams
111,7290 grams
112,75 centimeters
113,8 centimeters
114,8 GB
115,8 Inch
116,8.6 centimeters
117,8.80164E+12
118,8.80609E+12
119,8.80609E+12
120,9 centimeters
121,A21s
122,A515F 
123,Aeropostale
124,Alcatel
125,Android
126,android 7
127,Android 7.1 Nougat
128,Black
129,Blue
130,Core I-5
131,Core I-7
132,Cotton
133,DDR4
134,ddr4_sdram
135,Dell
136,Dual SIM
137,DVD-Writer
138,English & Arabic
139,English & Arabic Backlit KB
140,Full HD
141,Gaming
142,Grey
143,G-Tab
144,GTX 1660 Ti 
145,HP
146,Huawei
147,iKu
148,Intel Core i5
149,Jac
150,LED
151,Lenovo
152,Less than 2 MP
153,LG
154,LTE
155,M
156,M1
157,MediaTek
158,Mixed Materials
159,Mtouch
160,New Born
161,No
162,PCIe & Serial ATA
163,Prime Black
164,Q88
165,Quad Core
166,Raw trims
167,Redmi 6A
168,Round neck
169,Samsung
170,Samsung Exynos
171,Sary
172,Shared - Built in
173,Shirt
174,Silver
175,Single SIM
176,Slim fit
177,SM-A107FZBDKSA
178,Smart TV
179,Smartphone
180,SM-G975FCWHXSG
181,Standard TV
182,T3
183,Tab 2
184,Tripod
185,UA40T5300AUXEG
186,UPC-A
187,USB 3.1
188,USB 3.2
189,White
190,Windows
191,Without Optical Drive
192,Without SIM
193,Xiaomi
194,XL
195,YaFex
196,Yes
